                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83618,                 1.2945,                 1.0985,                0.89236,                      1,                  0.995,                0.83575,                0.73274,                 2.0782,                 1.0719,              0.0010212,              0.0010212,              0.0010212
                     36,                0.67322,                 0.9266,                0.98161,                 0.9649,                0.99866,                  0.995,                0.83621,                  0.583,                 1.9649,                0.96475,              0.0010469,              0.0010469,              0.0010469
                     37,                 0.8117,                 1.0645,                 1.0305,                 0.9649,                0.99866,                  0.995,                0.83621,                  0.583,                 1.9649,                0.96475,              0.0010723,              0.0010723,              0.0010723
                     38,                0.85891,                 1.0327,                 1.0201,                0.93969,                      1,                  0.995,                0.84228,                0.62913,                 2.0188,                0.96341,              0.0010976,              0.0010976,              0.0010976
                     39,                0.84224,                0.92814,                 0.9976,                 0.9245,                0.98472,                  0.995,                0.84785,                0.62273,                 1.8273,                 1.0032,              0.0011226,              0.0011226,              0.0011226
                     40,                0.71523,                0.92844,                 0.9883,                 0.9245,                0.98472,                  0.995,                0.84785,                0.62273,                 1.8273,                 1.0032,              0.0011474,              0.0011474,              0.0011474
                     41,                0.79166,                  1.018,                 1.0304,                0.92456,                 0.9896,                  0.995,                0.82137,                0.75869,                 1.5047,                 1.0901,               0.001172,               0.001172,               0.001172
                     42,                0.73196,                0.82148,                0.92189,                0.93697,                0.99167,                  0.995,                0.79041,                0.85294,                 1.3055,                 1.1335,              0.0011964,              0.0011964,              0.0011964
                     43,                0.83491,                0.98174,                 1.0616,                0.93697,                0.99167,                  0.995,                0.79041,                0.85294,                 1.3055,                 1.1335,              0.0012206,              0.0012206,              0.0012206
                     44,                0.80608,                 1.0026,                 1.0498,                0.94895,                0.99168,                  0.995,                0.86819,                0.63902,                 1.1468,                  1.022,              0.0012445,              0.0012445,              0.0012445
                     45,                0.81405,                 0.9105,                 1.0364,                0.94895,                0.99168,                  0.995,                0.86819,                0.63902,                 1.1468,                  1.022,              0.0012682,              0.0012682,              0.0012682
                     46,                0.90824,                0.94941,                 1.0796,                0.98974,                0.94751,                  0.995,                0.83736,                0.71344,                 1.2712,                 1.0174,              0.0012917,              0.0012917,              0.0012917
                     47,                0.85482,                 1.0912,                  1.071,                0.98974,                0.94751,                  0.995,                0.83736,                0.71344,                 1.2712,                 1.0174,               0.001315,               0.001315,               0.001315
                     48,                0.71372,                0.80127,                0.97896,                0.98578,                0.91547,                  0.995,                0.88729,                0.65793,                 1.5289,                 0.9897,               0.001338,               0.001338,               0.001338
                     49,                0.71141,                0.88358,                 0.9851,                0.98578,                0.91547,                  0.995,                0.88729,                0.65793,                 1.5289,                 0.9897,              0.0013609,              0.0013609,              0.0013609
                     50,                0.69091,                0.89756,                0.94059,                0.89299,                0.98535,                  0.995,                0.81429,                 0.8237,                 1.5701,                 1.0543,              0.0013835,              0.0013835,              0.0013835
                     51,                0.81975,                0.99242,                 1.0727,                0.89299,                0.98535,                  0.995,                0.81429,                 0.8237,                 1.5701,                 1.0543,              0.0013919,              0.0013919,              0.0013919
                     52,                0.82512,                0.93139,                 1.0236,                0.89911,                0.99004,                  0.995,                0.83162,                0.73811,                 1.3182,                 1.0369,              0.0013864,              0.0013864,              0.0013864
                     53,                0.73693,                0.87368,                 1.0309,                0.89911,                0.99004,                  0.995,                0.83162,                0.73811,                 1.3182,                 1.0369,              0.0013809,              0.0013809,              0.0013809
                     54,                0.68787,                 0.8612,                0.99992,                0.93476,                0.99283,                  0.995,                0.86583,                0.61597,                 1.1051,                 0.9789,              0.0013754,              0.0013754,              0.0013754
                     55,                0.75167,                0.84685,                0.96406,                0.93476,                0.99283,                  0.995,                0.86583,                0.61597,                 1.1051,                 0.9789,              0.0013699,              0.0013699,              0.0013699
                     56,                0.70872,                0.80884,                0.95048,                0.93705,                0.99746,                  0.995,                0.86215,                 0.6769,                 1.0703,                 1.0106,              0.0013644,              0.0013644,              0.0013644
                     57,                0.70363,                0.89925,                0.96052,                0.93705,                0.99746,                  0.995,                0.86215,                 0.6769,                 1.0703,                 1.0106,              0.0013589,              0.0013589,              0.0013589
                     58,                0.73612,                0.86162,                 1.0005,                0.95698,                      1,                  0.995,                0.80064,                0.77774,                 1.1013,                  1.117,              0.0013534,              0.0013534,              0.0013534
                     59,                 0.7744,                0.86532,                0.98548,                0.95698,                      1,                  0.995,                0.80064,                0.77774,                 1.1013,                  1.117,              0.0013479,              0.0013479,              0.0013479
                     60,                0.71343,                0.82275,                0.97446,                0.96673,                      1,                  0.995,                0.81475,                0.69868,                 1.0749,                 1.0822,              0.0013424,              0.0013424,              0.0013424
                     61,                0.85321,                0.91245,                 1.0191,                0.96673,                      1,                  0.995,                0.81475,                0.69868,                 1.0749,                 1.0822,              0.0013369,              0.0013369,              0.0013369
                     62,                  0.728,                0.84228,                0.97952,                0.98716,                      1,                  0.995,                0.82937,                0.62057,                0.98832,                 1.0145,              0.0013314,              0.0013314,              0.0013314
                     63,                0.60748,                0.83422,                0.89382,                0.98716,                      1,                  0.995,                0.82937,                0.62057,                0.98832,                 1.0145,              0.0013259,              0.0013259,              0.0013259
